"","target","metric","Method","value","finetuning"
"294","Crizotinib","pearson_corr","GNN",0.411901296968349,"No Fine Tuning"
"295","Crizotinib","pearson_corr","GNN",0.189907071654094,"No Fine Tuning"
"296","Crizotinib","pearson_corr","GNN",0.193241347779035,"No Fine Tuning"
"297","Crizotinib","pearson_corr","GNN",0.174624961633541,"No Fine Tuning"
"298","Crizotinib","pearson_corr","GNN",0.254302652897553,"No Fine Tuning"
"299","Crizotinib","pearson_corr","GNN",0.245647517497361,"No Fine Tuning"
"300","Crizotinib","pearson_corr","GNN",0.335282515371105,"No Fine Tuning"
"301","Crizotinib","pearson_corr","RandomForest",0.225178087084518,"No Fine Tuning"
"302","Crizotinib","pearson_corr","RandomForest",0.195205415964693,"No Fine Tuning"
"303","Crizotinib","pearson_corr","RandomForest",0.150505684966958,"No Fine Tuning"
"304","Crizotinib","pearson_corr","RandomForest",0.148810010591315,"No Fine Tuning"
"305","Crizotinib","pearson_corr","RandomForest",0.17088118123159,"No Fine Tuning"
"306","Crizotinib","pearson_corr","RandomForest",0.164335579392112,"No Fine Tuning"
"307","Crizotinib","pearson_corr","RandomForest",0.16383707033292,"No Fine Tuning"
"308","Crizotinib","pearson_corr","RandomForest",0.109049002565825,"No Fine Tuning"
"309","Crizotinib","pearson_corr","RandomForest",0.159007173303546,"No Fine Tuning"
"310","Crizotinib","pearson_corr","RandomForest",0.229024382532551,"No Fine Tuning"
"311","Crizotinib","pearson_corr","RandomForest",0.294614787885468,"No Fine Tuning"
"312","Crizotinib","pearson_corr","RandomForest",0.101468444837914,"No Fine Tuning"
"313","Crizotinib","pearson_corr","RandomForest",0.0947529491958697,"No Fine Tuning"
"314","Crizotinib","pearson_corr","RandomForest",0.125506582405603,"No Fine Tuning"
"315","Crizotinib","pearson_corr","RandomForest",0.233288328923536,"No Fine Tuning"
"316","Crizotinib","pearson_corr","RandomForest",0.0545616457560882,"No Fine Tuning"
"317","Crizotinib","pearson_corr","RandomForest",0.20675965761903,"No Fine Tuning"
"318","Crizotinib","pearson_corr","RandomForest",0.124205117729906,"No Fine Tuning"
"319","Crizotinib","pearson_corr","RandomForest",0.0759101423374808,"No Fine Tuning"
"320","Crizotinib","pearson_corr","RandomForest",0.127449468481119,"No Fine Tuning"
"321","Crizotinib","pearson_corr","RandomForest",0.127223862106567,"No Fine Tuning"
"322","Crizotinib","pearson_corr","RandomForest",0.203294754814822,"No Fine Tuning"
"323","Crizotinib","pearson_corr","RandomForest",0.0961699692332482,"No Fine Tuning"
"324","Crizotinib","pearson_corr","RandomForest",0.069287347377648,"No Fine Tuning"
"325","Crizotinib","pearson_corr","RandomForest",0.0819108831049317,"No Fine Tuning"
"326","Crizotinib","pearson_corr","RandomForest",0.0940431397374487,"No Fine Tuning"
"327","Crizotinib","pearson_corr","RandomForest",0.100402477700842,"No Fine Tuning"
